Timestamp: 1685547166, Funktion: OSMP_INIT, OSMPRank: 0
Timestamp: 1685547166, Funktion: OSMP_SIZE, OSMPRank: 0
Timestamp: 1685547166, Funktion: OSMP_RANK, OSMPRank: 0
Timestamp: 1685547166, Funktion: OSMP_BARRIER, OSMPRank: 0
Timestamp: 1685547167, Funktion: OSMP_INIT, OSMPRank: 1
Timestamp: 1685547167, Funktion: OSMP_SIZE, OSMPRank: 1
Timestamp: 1685547167, Funktion: OSMP_RANK, OSMPRank: 1
Timestamp: 1685547167, Funktion: OSMP_BARRIER, OSMPRank: 1
Timestamp: 1685547168, Funktion: OSMP_INIT, OSMPRank: 2
Timestamp: 1685547168, Funktion: OSMP_SIZE, OSMPRank: 2
Timestamp: 1685547168, Funktion: OSMP_RANK, OSMPRank: 2
Timestamp: 1685547168, Funktion: OSMP_BARRIER, OSMPRank: 2
Timestamp: 1685547169, Funktion: OSMP_INIT, OSMPRank: 3
Timestamp: 1685547169, Funktion: OSMP_SIZE, OSMPRank: 3
Timestamp: 1685547169, Funktion: OSMP_RANK, OSMPRank: 3
Timestamp: 1685547169, Funktion: OSMP_BARRIER, OSMPRank: 3
Timestamp: 1685547170, Funktion: OSMP_INIT, OSMPRank: 4
Timestamp: 1685547170, Funktion: OSMP_SIZE, OSMPRank: 4
Timestamp: 1685547170, Funktion: OSMP_RANK, OSMPRank: 4
Timestamp: 1685547170, Funktion: OSMP_BARRIER, OSMPRank: 4
Timestamp: 1685547171, Funktion: OSMP_INIT, OSMPRank: 5
Timestamp: 1685547171, Funktion: OSMP_SIZE, OSMPRank: 5
Timestamp: 1685547171, Funktion: OSMP_RANK, OSMPRank: 5
Timestamp: 1685547171, Funktion: OSMP_BARRIER, OSMPRank: 5
Timestamp: 1685547172, Funktion: OSMP_INIT, OSMPRank: 6
Timestamp: 1685547172, Funktion: OSMP_SIZE, OSMPRank: 6
Timestamp: 1685547172, Funktion: OSMP_RANK, OSMPRank: 6
Timestamp: 1685547172, Funktion: OSMP_BARRIER, OSMPRank: 6
Timestamp: 1685547173, Funktion: OSMP_INIT, OSMPRank: 7
Timestamp: 1685547173, Funktion: OSMP_SIZE, OSMPRank: 7
Timestamp: 1685547173, Funktion: OSMP_RANK, OSMPRank: 7
Timestamp: 1685547173, Funktion: OSMP_BARRIER, OSMPRank: 7
Timestamp: 1685547174, Funktion: OSMP_INIT, OSMPRank: 8
Timestamp: 1685547174, Funktion: OSMP_SIZE, OSMPRank: 8
Timestamp: 1685547174, Funktion: OSMP_RANK, OSMPRank: 8
Timestamp: 1685547174, Funktion: OSMP_BARRIER, OSMPRank: 8
Timestamp: 1685547175, Funktion: OSMP_INIT, OSMPRank: 9
Timestamp: 1685547175, Funktion: OSMP_SIZE, OSMPRank: 9
Timestamp: 1685547175, Funktion: OSMP_RANK, OSMPRank: 9
Timestamp: 1685547175, Funktion: OSMP_BARRIER, OSMPRank: 9
