Timestamp: 1685618934, Funktion: OSMP_INIT END, OSMPRank: 0
Timestamp: 1685618934, Funktion: OSMP_SIZE START, OSMPRank: 0
Timestamp: 1685618934, Funktion: OSMP_SIZE END, OSMPRank: 0
Timestamp: 1685618934, Funktion: OSMP_RANK START, OSMPRank: 0
Timestamp: 1685618934, Funktion: OSMP_RANK END, OSMPRank: 0
Timestamp: 1685618935, Funktion: OSMP_INIT END, OSMPRank: 1
Timestamp: 1685618935, Funktion: OSMP_SIZE START, OSMPRank: 1
Timestamp: 1685618935, Funktion: OSMP_SIZE END, OSMPRank: 1
Timestamp: 1685618935, Funktion: OSMP_RANK START, OSMPRank: 1
Timestamp: 1685618935, Funktion: OSMP_RANK END, OSMPRank: 1
Timestamp: 1685618936, Funktion: OSMP_INIT END, OSMPRank: 2
Timestamp: 1685618936, Funktion: OSMP_SIZE START, OSMPRank: 2
Timestamp: 1685618936, Funktion: OSMP_SIZE END, OSMPRank: 2
Timestamp: 1685618936, Funktion: OSMP_RANK START, OSMPRank: 2
Timestamp: 1685618936, Funktion: OSMP_RANK END, OSMPRank: 2
Timestamp: 1685618937, Funktion: OSMP_INIT END, OSMPRank: 3
Timestamp: 1685618937, Funktion: OSMP_SIZE START, OSMPRank: 3
Timestamp: 1685618937, Funktion: OSMP_SIZE END, OSMPRank: 3
Timestamp: 1685618937, Funktion: OSMP_RANK START, OSMPRank: 3
Timestamp: 1685618937, Funktion: OSMP_RANK END, OSMPRank: 3
Timestamp: 1685618938, Funktion: OSMP_INIT END, OSMPRank: 4
Timestamp: 1685618938, Funktion: OSMP_SIZE START, OSMPRank: 4
Timestamp: 1685618938, Funktion: OSMP_SIZE END, OSMPRank: 4
Timestamp: 1685618938, Funktion: OSMP_RANK START, OSMPRank: 4
Timestamp: 1685618938, Funktion: OSMP_RANK END, OSMPRank: 4
