Timestamp: 1687200339, Funktion: OSMP_INIT END, OSMPRank: 0
Timestamp: 1687200339, Funktion: OSMP_SIZE START, OSMPRank: 0
Timestamp: 1687200339, Funktion: OSMP_SIZE END, OSMPRank: 0
Timestamp: 1687200339, Funktion: OSMP_RANK START, OSMPRank: 0
Timestamp: 1687200339, Funktion: OSMP_RANK END, OSMPRank: 0
Timestamp: 1687200339, Funktion: OSMP_INIT END, OSMPRank: 1
Timestamp: 1687200339, Funktion: OSMP_SIZE START, OSMPRank: 1
Timestamp: 1687200339, Funktion: OSMP_SIZE END, OSMPRank: 1
Timestamp: 1687200339, Funktion: OSMP_RANK START, OSMPRank: 1
Timestamp: 1687200339, Funktion: OSMP_RANK END, OSMPRank: 1
Timestamp: 1687200339, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200341, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200341, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200341, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200341, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200343, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200343, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200343, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200343, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200345, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200345, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200345, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200345, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200347, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200347, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200347, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200347, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200349, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200349, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200349, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200349, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200351, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200351, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200351, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200351, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200353, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200353, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200353, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200353, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200355, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200355, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200355, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200355, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200357, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200357, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200357, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200357, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200359, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200359, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200359, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200359, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200361, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200361, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200361, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200361, Funktion: OSMP_RECV START, OSMPRank: 1
Timestamp: 1687200363, Funktion: OSMP_SEND START, OSMPRank: 0
Timestamp: 1687200363, Funktion: OSMP_SEND END, OSMPRank: 0
Timestamp: 1687200363, Funktion: OSMP_RECV END, OSMPRank: 1
Timestamp: 1687200363, Funktion: OSMP_RECV START, OSMPRank: 1
