Timestamp: 1685619355, Funktion: OSMP_INIT END, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_SIZE START, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_SIZE END, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_RANK START, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_RANK END, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_BCAST START, OSMPRank: 0
Timestamp: 1685619355, Funktion: OSMP_BARRIER START, OSMPRank: 0
Timestamp: 1685619356, Funktion: OSMP_INIT END, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_SIZE START, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_SIZE END, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_RANK START, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_RANK END, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_BCAST START, OSMPRank: 1
Timestamp: 1685619356, Funktion: OSMP_BARRIER START, OSMPRank: 1
Timestamp: 1685619357, Funktion: OSMP_INIT END, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_SIZE START, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_SIZE END, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_RANK START, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_RANK END, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_BCAST START, OSMPRank: 2
Timestamp: 1685619357, Funktion: OSMP_BARRIER START, OSMPRank: 2
Timestamp: 1685619358, Funktion: OSMP_INIT END, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_SIZE START, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_SIZE END, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_RANK START, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_RANK END, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_BCAST START, OSMPRank: 3
Timestamp: 1685619358, Funktion: OSMP_BARRIER START, OSMPRank: 3
Timestamp: 1685619359, Funktion: OSMP_INIT END, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_SIZE START, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_SIZE END, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_RANK START, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_RANK END, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_BCAST START, OSMPRank: 4
Timestamp: 1685619359, Funktion: OSMP_BARRIER START, OSMPRank: 4
Timestamp: 1685619360, Funktion: OSMP_INIT END, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_SIZE START, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_SIZE END, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_RANK START, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_RANK END, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_BCAST START, OSMPRank: 5
Timestamp: 1685619360, Funktion: OSMP_BARRIER START, OSMPRank: 5
Timestamp: 1685619361, Funktion: OSMP_INIT END, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_SIZE START, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_SIZE END, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_RANK START, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_RANK END, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_BCAST START, OSMPRank: 6
Timestamp: 1685619361, Funktion: OSMP_BARRIER START, OSMPRank: 6
Timestamp: 1685619362, Funktion: OSMP_INIT END, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_SIZE START, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_SIZE END, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_RANK START, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_RANK END, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_BCAST START, OSMPRank: 7
Timestamp: 1685619362, Funktion: OSMP_BARRIER START, OSMPRank: 7
Timestamp: 1685619363, Funktion: OSMP_INIT END, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_SIZE START, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_SIZE END, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_RANK START, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_RANK END, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_BCAST START, OSMPRank: 8
Timestamp: 1685619363, Funktion: OSMP_BARRIER START, OSMPRank: 8
Timestamp: 1685619364, Funktion: OSMP_INIT END, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_SIZE START, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_SIZE END, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_RANK START, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_RANK END, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_BCAST START, OSMPRank: 9
Timestamp: 1685619364, Funktion: OSMP_BARRIER START, OSMPRank: 9
Timestamp: 1685619365, Funktion: OSMP_INIT END, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_SIZE START, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_SIZE END, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_RANK START, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_RANK END, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_BCAST START, OSMPRank: 10
Timestamp: 1685619365, Funktion: OSMP_BARRIER START, OSMPRank: 10
Timestamp: 1685619367, Funktion: OSMP_INIT END, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_SIZE START, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_SIZE END, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_RANK START, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_RANK END, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_BCAST START, OSMPRank: 11
Timestamp: 1685619367, Funktion: OSMP_BARRIER START, OSMPRank: 11
Timestamp: 1685619368, Funktion: OSMP_INIT END, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_SIZE START, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_SIZE END, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_RANK START, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_RANK END, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_BCAST START, OSMPRank: 12
Timestamp: 1685619368, Funktion: OSMP_BARRIER START, OSMPRank: 12
Timestamp: 1685619369, Funktion: OSMP_INIT END, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_SIZE START, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_SIZE END, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_RANK START, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_RANK END, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_BCAST START, OSMPRank: 13
Timestamp: 1685619369, Funktion: OSMP_BARRIER START, OSMPRank: 13
Timestamp: 1685619370, Funktion: OSMP_INIT END, OSMPRank: 14
